CLIENTE,,,,,
Cod,Prioridade,Endereco,Estado,Email,Fone
596328,Baixa,"2813 A, Ave",CA,lacinia.orci@euelit.org,81324556634
237669,Baixa,469-6007 Non Ave,AM,elit.fermentum@molestiedapibusligula.ca,81324556635
323110,Media,279-395 Ornare Avenue,PA,amet@eget.co.uk,81324556636
570551,Baixa,Ap #478-5357 Venenatis Rd.,MG,nisi.a@aaliquet.ca,81324556637
829521,Baixa,"P.O. Box 862, 6019 Proin Av.",BL,arcu.imperdiet.ullamcorper@pulvinararcu.net,81324556638
768352,Media,Ap #429-4302 Tempus Ave,PC,ut.ipsum.ac@vel.org,81324556639
959091,Alta,4081 Elit. Av.,PE,et@magna.edu,81324556640
101468,Baixa,5161 Euismod St.,MS,tellus.eu.augue@faucibus.edu,81324556641
300460,Media,9570 Vel St.,SP,eu@vehiculaPellentesquetincidunt.com,81324556642
220323,Baixa,9618 At Rd.,BH,ut@dignissimmagnaa.ca,81324556643
216951,Baixa,833-2303 Eros. Road,TK,sit.amet@ametultricies.net,81324556644
978804,Media,"P.O. Box 344, 7665 Nibh. Road",RU,nulla.In@erategettincidunt.ca,81324556645
145281,Baixa,Ap #679-5077 Consectetuer Rd.,AL,hendrerit.neque.In@pedeCrasvulputate.org,81324556646
934833,Baixa,Ap #801-6028 Cursus. Road,CA,amet@rhoncus.ca,81324556647
834677,Media,"P.O. Box 294, 906 Enim, Av.",AM,non.massa.non@interdum.org,81324556648
141076,Alta,255-5013 Metus Av.,PA,eu.enim.Etiam@diamvelarcu.ca,81324556649
467429,Media,"P.O. Box 268, 2573 Arcu. St.",MG,aliquet@fringillaDonecfeugiat.edu,81324556650
299644,Baixa,"Ap #440-4927 Non, Rd.",BL,velit.Pellentesque@auctornunc.edu,81324556651
925755,Baixa,Ap #531-2814 Proin Av.,PC,dui.quis@Nullamenim.org,81324556652
625728,Media,"P.O. Box 994, 6793 Nulla Road",CH,Integer.vulputate.risus@ornaretortorat.ca,81324556653
631420,Baixa,4598 Pellentesque Road,UR,magna@egetlacus.co.uk,81324556654
898542,Media,"Ap #419-7855 Tempor, St.",LJ,lorem.eget.mollis@Sed.org,81324556655
782268,Baixa,"P.O. Box 320, 6568 Morbi Road",PR,justo@Suspendisse.com,81324556656
268806,Baixa,1391 Donec Ave,TD,Fusce@eratvitaerisus.ca,81324556657
212736,Media,4716 Lorem Avenue,LO,elementum@Pellentesque.com,81324556658
841802,Baixa,"P.O. Box 621, 2530 Cursus. Av.",RU,eget@urna.edu,81324556659
291512,Baixa,"P.O. Box 809, 9180 Orci Street",AL,sapien@Nam.edu,81324556660
638832,Baixa,321-2744 Eros Ave,CA,imperdiet.non@nonummyipsumnon.co.uk,81324556661
733973,Media,895 Urna. St.,AM,mattis.semper@Maurisblanditenim.edu,81324556662
771831,Baixa,Ap #450-4067 Aliquet St.,PA,Duis@elementumdui.co.uk,81324556663
590450,Baixa,724-5122 Sem St.,MG,interdum.enim.non@vitaedolor.com,81324556664
877891,Media,144-1511 Nunc Road,BL,eu.euismod.ac@justo.co.uk,81324556665
385950,Baixa,507-7167 Mollis. Avenue,PC,pede@Cras.com,81324556666
659375,Baixa,Ap #469-7195 Nunc. Road,PE,magna.tellus.faucibus@quis.co.uk,81324556667
862607,Media,877-3036 Vulputate Rd.,MS,quam@dapibus.ca,81324556668
954681,Alta,363-2712 Fringilla Rd.,SP,urna@Nullafacilisis.com,81324556669
286980,Media,"P.O. Box 507, 4239 Nibh St.",BH,Cras.dolor.dolor@Phasellus.com,81324556670
934401,Baixa,7496 Gravida Av.,TK,ullamcorper.magna@Sedeueros.net,81324556671
468099,Baixa,890-3791 Pulvinar Street,RU,amet.faucibus@accumsan.com,81324556672
122489,Media,Ap #507-462 Vestibulum St.,AL,nec.tempus@dictumsapien.ca,81324556673
617384,Baixa,"P.O. Box 781, 3449 Duis Road",CA,enim.commodo.hendrerit@consectetueradipiscing.ca,81324556674
819078,Media,Ap #296-136 Ut St.,AM,massa.rutrum@ornaretortorat.net,81324556675
865630,Baixa,"Ap #617-204 Montes, Avenue",PA,arcu.vel.quam@sitamet.edu,81324556676
603103,Baixa,Ap #747-4879 Duis Ave,MG,facilisis@vehicula.co.uk,81324556677
814115,Media,552-5679 Rutrum Rd.,BL,ipsum.leo.elementum@rutrummagna.org,81324556678
931537,Baixa,"P.O. Box 916, 8783 Ultrices, Rd.",PC,nisi@nuncinterdumfeugiat.net,81324556679
744399,Baixa,"P.O. Box 790, 5738 Sem Rd.",CH,massa@orci.org,81324556680
753262,Baixa,"P.O. Box 419, 6678 Nulla. Street",UR,libero.est@orcilacus.ca,81324556681
516196,Media,4985 Natoque Street,LJ,magna@ac.com,81324556682
650832,Baixa,699-6669 Curabitur Rd.,PR,mi.eleifend@ipsum.ca,81324556683
452733,Baixa,Ap #385-3814 Libero Road,TD,Fusce.diam@ametultriciessem.net,81324556684
125522,Media,"P.O. Box 369, 2036 Parturient Rd.",LO,sem@aliquam.com,81324556685
697012,Baixa,"P.O. Box 905, 7328 Amet Avenue",MB,id@lorem.org,81324556686
942783,Baixa,Ap #880-9892 Odio. Rd.,FS,Duis.sit@feugiatnonlobortis.ca,81324556687
965983,Media,119-9842 Non Ave,RU,tempus@sitamet.org,81324556688
347009,Alta,"P.O. Box 923, 9638 Magna. Av.",AL,Aenean.eget.metus@et.ca,81324556689
717614,Media,7588 Tempor Rd.,CA,condimentum.Donec.at@ipsum.co.uk,81324556690
676708,Baixa,Ap #287-433 Morbi Ave,AM,eget@Vivamusnon.com,81324556691
320959,Baixa,"P.O. Box 354, 5661 Dui. St.",PA,tincidunt.pede.ac@augue.edu,81324556692
591026,Media,534-5013 Volutpat. Street,MG,tincidunt.tempus@parturientmontesnascetur.com,81324556693
554658,Baixa,2531 Elit. Street,BL,Fusce.aliquet.magna@Donec.org,81324556694
713146,Media,6566 Risus. Rd.,PC,Cras.vehicula.aliquet@arcuNunc.co.uk,81324556695
935925,Baixa,"318-4723 Eu, Rd.",PE,et.ipsum@arcuiaculisenim.net,81324556696
740018,Baixa,1677 Dolor Road,MS,Nam.consequat.dolor@Suspendissedui.org,81324556697
692444,Media,"P.O. Box 548, 3429 Ipsum Rd.",SP,Aenean.gravida@etrutrum.co.uk,81324556698
995603,Baixa,"9350 Quis, Street",BH,erat.volutpat.Nulla@nuncrisus.net,81324556699
900713,Media,5162 Molestie. Av.,TK,lorem.eu@pede.ca,81324556700
760456,Baixa,"7802 At, Avenue",RU,sagittis.Nullam@quispedePraesent.ca,81324556701
511954,Baixa,4903 Nibh. St.,AL,placerat@fringilla.co.uk,81324556702
591024,Media,Ap #963-8269 Ac St.,CA,semper.et@veliteusem.net,81324556703
677040,Baixa,"P.O. Box 616, 7711 Vestibulum. Avenue",AM,ac.urna.Ut@egetmassa.org,81324556704
140395,Baixa,7146 Interdum Rd.,PA,tincidunt@Seddiamlorem.edu,81324556705
119477,Media,317-4983 Cras Road,MG,eget.massa.Suspendisse@mus.org,81324556706
807931,Alta,Ap #299-6686 Ipsum Av.,BL,ultrices.Duis.volutpat@Donecvitae.co.uk,81324556707
329043,Media,Ap #352-2771 Orci. Road,PC,lobortis@infaucibus.ca,81324556708
621457,Baixa,5847 Lacus. Ave,CH,hendrerit.neque.In@Aliquamornare.net,81324556709
841644,Baixa,"P.O. Box 960, 2494 Eu Rd.",UR,vel.lectus.Cum@sitamet.net,81324556710
